winner,loser,method
Sean O'Malley,Aljamain Sterling(c),TKO (punches)
Zhang Weili(c),Amanda Lemos,"Decision (unanimous) (50–43, 50–44, 49–45)"
Ian Machado Garry,Neil Magny,"Decision (unanimous) (30–26, 30–26, 30–24)"
Mario Bautista,Da'Mon Blackshear,"Decision (unanimous) (29–28, 29–28, 30–27)"
Marlon Vera,Pedro Munhoz,"Decision (unanimous) (30–27, 30–27, 29–28)"
Brad Tavares,Chris Weidman,"Decision (unanimous) (30–27, 30–27, 30–27)"
Gregory Rodrigues,Denis Tiuliulin,KO (elbows)
Kurt Holobaugh,Austin Hubbard,Submission (triangle choke)
Brad Katona,Cody Gibson,"Decision (unanimous) (29–28, 29–28, 30–27)"
Andre Petroski,Gerald Meerschaert,"Decision (split) (28–29, 29–28, 29–28)"
Natália Silva,Andrea Lee,"Decision (unanimous) (30–27, 30–27, 30–27)"
Karine Silva,Maryna Moroz,Submission (guillotine choke)
Vicente Luque,Rafael dos Anjos,"Decision (unanimous) (49–46, 48–47, 48–47)"
Cub Swanson,Hakeem Dawodu,"Decision (unanimous) (29–28, 29–28, 29–28)"
Khalil Rountree Jr.,Chris Daukaus,TKO (punches)
Iasmin Lucindo,Polyana Viana,Submission (arm-triangle choke)
A.J. Dobson,Tafon Nchukwi,"Decision (unanimous) (29–28, 29–28, 29–28)"
Josh Fremd,Jamie Pickett,"Decision (unanimous) (30–27, 30–27, 30–27)"
Marcus McGhee,JP Buys,KO (punch)
Terrance McKinney,Mike Breeden,TKO (punches)
Isaac Dulgarian,Francis Marshall,TKO (elbows)
Martin Buday,Josh Parisian,Submission (kimura)
Jaqueline Amorim,Montserrat Ruiz,TKO (elbows and punches)
Da'Mon Blackshear,Jose Johnson,Submission (twister)
Luana Santos,Juliana Miller,TKO (punches)
Cory Sandhagen,Rob Font,"Decision (unanimous) (50–45, 50–45, 50–45)"
Tatiana Suarez,Jéssica Andrade,Submission (guillotine choke)
Dustin Jacoby,Kennedy Nzechukwu,TKO (punches)
Diego Lopes,Gavin Tucker,Submission (armbar)
Tanner Boser,Aleksa Camur,"Decision (unanimous) (30–27, 30–27, 30–27)"
Ľudovít Klein,Ignacio Bahamondes,"Decision (unanimous) (30–27, 29–28, 29–28)"
Kyler Phillips,Raoni Barcelos,"Decision (unanimous) (30–27, 29–28, 29–28)"
Carlston Harris,Jeremiah Wells,Technical Submission (anaconda choke)
Billy Quarantillo,Damon Jackson,"Decision (unanimous) (29–28, 29–28, 29–28)"
Cody Durden,Jake Hadley,"Decision (unanimous) (30–27, 30–27, 30–27)"
Sean Woodson,Dennis Buzukja,"Decision (unanimous) (30–27, 30–27, 30–27)"
Assu Almabayev,Ode' Osbourne,Submission (rear-naked choke)
Justin Gaethje,Dustin Poirier,KO (head kick)
Alex Pereira,Jan Błachowicz,"Decision (split) (29–28, 28–29, 29–28)"
Derrick Lewis,Marcos Rogério de Lima,TKO (punches)
Bobby Green,Tony Ferguson,Technical Submission (arm-triangle choke)
Kevin Holland,Michael Chiesa,Submission (brabo choke)
Gabriel Bonfim,Trevin Giles,Submission (guillotine choke)
C.J. Vergara,Vinicius Salvador,"Decision (unanimous) (29–28, 29–28, 29–28)"
Roman Kopylov,Claudio Ribeiro,KO (head kick)
Jake Matthews,Darrius Flowers,Submission (rear-naked choke)
Uroš Medić,Matthew Semelsberger,TKO (spinning backfist and punches)
Miranda Maverick,Priscila Cachoeira,Submission (armbar)
Tom Aspinall,Marcin Tybura,TKO (elbow and punches)
Julija Stoliarenko,Molly McCann,Submission (armbar)
Nathaniel Wood,Andre Fili,"Decision (unanimous) (29–28, 29–28, 29–28)"
Paul Craig,André Muniz,TKO (elbows)
Farès Ziam,Jai Herbert,"Decision (unanimous) (29–28, 29–28, 30–27)"
Lerone Murphy,Joshua Culibao,"Decision (unanimous) (30–26, 30–26, 30–27)"
Daniel Marcos,Davey Grant,"Decision (split) (28–29, 29–28, 29–28)"
Jonny Parsons,Danny Roberts,TKO (punches)
Joel Álvarez,Marc Diakiese,Submission (brabo choke)
Mick Parkin,Jamal Pogues,"Decision (unanimous) (30–27, 30–27, 30–27)"
Makhmud Muradov,Bryan Barberena,"Decision (unanimous) (30–27, 30–27, 30–27)"
Ketlen Vieira,Pannie Kianzad,"Decision (unanimous) (29–28, 29–28, 29–28)"
Chris Duncan,Yanal Ashmouz,"Decision (unanimous) (30–27, 30–27, 29–28)"
Bruna Brasil,Shauna Bannon,"Decision (unanimous) (29–28, 29–28, 30–27)"
Jafel Filho,Daniel Bárez,Submission (arm-triangle choke)
Mayra Bueno Silva,Holly Holm,Submission (ninja choke)
Jack Della Maddalena,Bassil Hafez,"Decision (split) (28–29, 29–28, 29–28)"
Francisco Prado,Ottman Azaitar,TKO (punches)
Park Jun-yong,Albert Duraev,Submission (rear-naked choke)
Norma Dumont,Chelsea Chandler,"Decision (unanimous) (30–27, 30–27, 30–27)"
Nazim Sadykhov,Terrance McKinney,Submission (rear-naked choke)
Melsik Baghdasaryan,Tucker Lutz,"Decision (unanimous) (29–28, 29–28, 29–28)"
Viktoriya Dudakova,Istela Nunes,TKO (arm injury)
Melquizael Costa,Austin Lingo,"Decision (unanimous) (30–26, 30–27, 30–27)"
Evan Elder,Genaro Valdez,"Decision (unanimous) (30–26, 29–28, 29–28)"
Azat Maksum,Tyson Nam,"Decision (split) (29–28, 28–29, 29–28)"
Alexander Munoz,Carl Deaton III,"Decision (unanimous) (30–26, 30–27, 29–28)"
Ailín Pérez,Ashlee Evans-Smith,"Decision (unanimous) (30–25, 30–25, 30–26)"
